team,Date,pitcher_1,pitcher_2,pitcher_3,pitcher_4,pitcher_5,pitcher_6,pitcher_7,pitcher_8,pitcher_9,pitcher_10,pitcher_11,pitcher_12,pitcher_13,pitcher_14,pitcher_15,catcher_1,catcher_2,catcher_3,catcher_4,catcher_5,infielder_1,infielder_2,infielder_3,infielder_4,infielder_5,infielder_6,infielder_7,infielder_8,infielder_9,infielder_10,outfielder_1,outfielder_2,outfielder_3,outfielder_4,outfielder_5,outfielder_6,outfielder_7,outfielder_8,outfielder_9,outfielder_10
braves,07/02/2022 18:12:58,Ian Anderson,Silvino Bracho,Jesse Chavez,Max Fried,Dylan Lee,Collin McHugh,A.J. Minter,Charlie Morton,Darren O'Day,Will Smith,Jackson Stephens,Spencer Strider,Kyle Wright,,,William Contreras,Travis d'Arnaud,,,,Orlando Arcia,Mike Ford,Phil Gosselin,Matt Olson,Austin Riley,Dansby Swanson,,,,,Ronald Acuña Jr.,Adam Duvall,Michael Harris II,Guillermo Heredia,Marcell Ozuna,,,,,
orioles,07/02/2022 18:12:58,Keegan Akin,Bryan Baker,Félix Bautista,Joey Krehbiel,Dean Kremer,Jorge López,Jordan Lyles,Cionel Pérez,Dillon Tate,Nick Vespi,Austin Voth,Spenser Watkins,Tyler Wells,,,Robinson Chirinos,Adley Rutschman,,,,Jonathan Araúz,Trey Mancini,Richie Martin,Jorge Mateo,Ryan Mountcastle,Tyler Nevin,Rougned Odor,,,,Austin Hays,Ryan McKenna,Cedric Mullins,Anthony Santander,,,,,,
redsox,07/02/2022 18:12:58,Ryan Brasier,Tyler Danish,Austin Davis,Jake Diekman,Rich Hill,Tanner Houck,Nick Pivetta,Hansel Robles,Hirokazu Sawamura,John Schreiber,Matt Strahm,Michael Wacha,Josh Winckowski,,,Kevin Plawecki,Christian Vázquez,,,,Xander Bogaerts,Franchy Cordero,Bobby Dalbec,Rafael Devers,Trevor Story,,,,,,Christian Arroyo,Jackie Bradley Jr.,Jarren Duran,Rob Refsnyder,Alex Verdugo,J.D. Martinez,,,,
cubs,07/02/2022 18:12:58,Scott Effross,Mychal Givens,Kyle Hendricks,Brandon Hughes,Mark Leiter Jr.,Chris Martin,Alec Mills,David Robertson,Adrian Sampson,Justin Steele,Matt Swarmer,Keegan Thompson,Rowan Wick,,,Willson Contreras,Yan Gomes,P.J. Higgins,,,David Bote,Nico Hoerner,Alfonso Rivas,Andrelton Simmons,Patrick Wisdom,,,,,,Narciso Crook,Ian Happ,Christopher Morel,Rafael Ortega,Nelson Velázquez,,,,,
whitesox,07/02/2022 18:12:58,Tanner Banks,Dylan Cease,Johnny Cueto,Matt Foster,Lucas Giolito,Kendall Graveman,Joe Kelly,Michael Kopech,Jimmy Lambert,Reynaldo López,Lance Lynn,José Ruiz,Vince Velasquez,,,Reese McGuire,Seby Zavala,,,,José Abreu,Tim Anderson,Jake Burger,Leury García,Josh Harrison,Yoán Moncada,Gavin Sheets,,,,Adam Haseley,AJ Pollock,Luis Robert,Andrew Vaughn,,,,,,
reds,07/02/2022 18:12:58,Graham Ashcraft,Luis Castillo,Luis Cessa,Ross Detwiler,Hunter Greene,Jeff Hoffman,Joel Kuhnel,Tyler Mahle,Mike Minor,Dauri Moreta,Reiver Sanmartin,Hunter Strickland,Art Warren,,,Aramis Garcia,Michael Papierski,,,,Brandon Drury,Kyle Farmer,Jonathan India,Mike Moustakas,Matt Reynolds,Donovan Solano,Joey Votto,,,,Albert Almora Jr.,Tommy Pham,Max Schrock,Nick Senzel,,,,,,
guardians,07/02/2022 18:12:58,Shane Bieber,Anthony Castro,Aaron Civale,Emmanuel Clase,Enyel De Los Santos,Anthony Gose,Sam Hentges,Kirk McCarty,Triston McKenzie,Eli Morgan,Zach Plesac,Cal Quantrill,Bryan Shaw,Trevor Stephan,,Sandy León,Luke Maile,,,,Gabriel Arias,Ernie Clement,Andrés Giménez,Owen Miller,Josh Naylor,José Ramírez,Amed Rosario,,,,Steven Kwan,Richie Palacios,Franmil Reyes,Myles Straw,,,,,,
rockies,07/02/2022 18:12:58,Daniel Bard,Jake Bird,Ty Blach,Jhoulys Chacín,Alex Colomé,Carlos Estévez,Kyle Freeland,Lucas Gilbreath,Austin Gomber,Chad Kuhl,Germán Márquez,Antonio Senzatela,Robert Stephenson,,,Elias Díaz,Brian Serven,,,,C.J. Cron,Garrett Hampson,José Iglesias,Ryan McMahon,Elehuris Montero,Brendan Rodgers,,,,,Charlie Blackmon,Kris Bryant,Yonathan Daza,Randal Grichuk,Connor Joe,,,,,
tigers,07/02/2022 18:12:58,Tyler Alexander,Beau Brieske,Andrew Chafin,Jason Foley,Michael Fulmer,Rony García,Joe Jiménez,Alex Lange,Wily Peralta,Michael Pineda,Tarik Skubal,Gregory Soto,Will Vest,,,Tucker Barnhart,Eric Haase,,,,Javier Báez,Jeimer Candelario,Harold Castro,Jonathan Schoop,Spencer Torkelson,,,,,,Willi Castro,Kody Clemens,Riley Greene,Robbie Grossman,Victor Reyes,Miguel Cabrera,,,,
astros,07/02/2022 18:12:58,Bryan Abreu,Luis Garcia,Cristian Javier,Seth Martinez,Phil Maton,Rafael Montero,Héctor Neris,Enoli Paredes,Ryan Pressly,Ryne Stanek,José Urquidy,Framber Valdez,Justin Verlander,,,Korey Lee,Martín Maldonado,,,,Jose Altuve,Alex Bregman,Aledmys Díaz,Yuli Gurriel,J.J. Matijevic,Jeremy Peña,,,,,Mauricio Dubón,Chas McCormick,Jake Meyers,Kyle Tucker,Yordan Alvarez,,,,,
royals,07/02/2022 18:12:58,Scott Barlow,Kris Bubic,Taylor Clarke,Dylan Coleman,Jose Cuas,Amir Garrett,Zack Greinke,Jonathan Heasley,Brad Keller,Jackson Kowar,Wyatt Mills,Joel Payamps,Brady Singer,,,Cam Gallagher,MJ Melendez,,,,Hunter Dozier,Nicky Lopez,Whit Merrifield,Ryan O'Hearn,Vinnie Pasquantino,Emmanuel Rivera,Bobby Witt Jr.,,,,Andrew Benintendi,Kyle Isbel,Edward Olivares,Michael A. Taylor,,,,,,
angels,07/02/2022 18:12:58,Jaime Barría,Raisel Iglesias,Michael Lorenzen,Aaron Loup,Oliver Ortega,Elvis Peguero,José Quijada,Patrick Sandoval,Chase Silseth,José Suarez,Noah Syndergaard,Andrew Wantz,Shohei Ohtani,,,Max Stassi,Kurt Suzuki,Matt Thaiss,,,David MacKinnon,Luis Rengifo,Andrew Velazquez,Tyler Wade,Jared Walsh,,,,,,Monte Harrison,Brandon Marsh,Mike Trout,Taylor Ward,,,,,,
dodgers,07/02/2022 18:12:58,Yency Almonte,Tyler Anderson,Phil Bickford,Ian Gibaut,Tony Gonsolin,Brusdar Graterol,Clayton Kershaw,Craig Kimbrel,Reyes Moronta,Evan Phillips,Julio Urías,Alex Vesia,Mitch White,,,Austin Barnes,Will Smith,,,,Hanser Alberto,Eddy Alvarez,Freddie Freeman,Jake Lamb,Gavin Lux,Max Muncy,Trea Turner,Justin Turner,,,Cody Bellinger,Chris Taylor,Trayce Thompson,,,,,,,
marlins,07/02/2022 18:12:58,Sandy Alcantara,Anthony Bass,Richard Bleier,Daniel Castano,Dylan Floro,Braxton Garrett,Pablo López,Tommy Nance,Steven Okert,Zach Pop,Trevor Rogers,Tanner Scott,Jimmy Yacabonis,,,Nick Fortes,Jacob Stallings,,,,Jesús Aguilar,Brian Anderson,Jon Berti,Garrett Cooper,Billy Hamilton,Miguel Rojas,Joey Wendle,Luke Williams,,,Bryan De La Cruz,Avisaíl García,Jesús Sánchez,,,,,,,
brewers,07/02/2022 18:12:58,Jason Alexander,Aaron Ashby,Brad Boxberger,Corbin Burnes,Chi Chi González,Trevor Gott,Jandel Gustave,Josh Hader,Eric Lauer,Hoby Milner,Brent Suter,Devin Williams,Brandon Woodruff,,,Victor Caratini,Omar Narváez,,,,Willy Adames,Mike Brosseau,Keston Hiura,Jace Peterson,Rowdy Tellez,Luis Urías,Kolten Wong,,,,Jonathan Davis,Andrew McCutchen,Tyrone Taylor,Christian Yelich,,,,,,
twins,07/02/2022 18:12:58,Chris Archer,Dylan Bundy,Jharel Cotton,Tyler Duffey,Jhoan Duran,Sonny Gray,Griffin Jax,Juan Minaya,Jovani Moran,Emilio Pagán,Joe Ryan,Devin Smeltzer,Caleb Thielbar,,,Ryan Jeffers,Gary Sánchez,,,,Luis Arraez,Carlos Correa,Jose Miranda,Jorge Polanco,Gio Urshela,,,,,,Byron Buxton,Gilberto Celestino,Kyle Garlick,Nick Gordon,Max Kepler,Alex Kirilloff,,,,
mets,07/02/2022 18:12:58,R.J. Alvarez,Carlos Carrasco,Edwin Díaz,Tommy Hunter,Seth Lugo,Adonis Medina,Adam Ottavino,David Peterson,Joely Rodríguez,Chasen Shreve,Drew Smith,Taijuan Walker,Trevor Williams,,,James McCann,Tomás Nido,,,,Pete Alonso,J.D. Davis,Eduardo Escobar,Luis Guillorme,Francisco Lindor,Jeff McNeil,Dominic Smith,,,,Mark Canha,Ender Inciarte,Starling Marte,Brandon Nimmo,,,,,,
yankees,07/02/2022 18:12:58,Albert Abreu,Aroldis Chapman,Gerrit Cole,Nestor Cortes,Clay Holmes,Michael King,Lucas Luetge,Ron Marinaccio,Jordan Montgomery,Wandy Peralta,Luis Severino,Jameson Taillon,Ryan Weber,,,Kyle Higashioka,Jose Trevino,,,,Josh Donaldson,Marwin Gonzalez,Isiah Kiner-Falefa,DJ LeMahieu,Anthony Rizzo,Gleyber Torres,,,,,Miguel Andújar,Joey Gallo,Aaron Hicks,Aaron Judge,Matt Carpenter,Giancarlo Stanton,,,,
athletics,07/02/2022 18:12:58,Domingo Acevedo,Paul Blackburn,Cole Irvin,Zach Jackson,James Kaprielian,Adrian Martinez,Sam Moll,Frankie Montas,Austin Pruitt,A.J. Puk,Sam Selman,Kirby Snead,Lou Trivino,,,Sean Murphy,Stephen Vogt,,,,Nick Allen,Elvis Andrus,Christian Bethancourt,Seth Brown,Tony Kemp,Vimael Machín,Sheldon Neuse,,,,Skye Bolt,Ramón Laureano,Chad Pinder,Stephen Piscotty,,,,,,
